internship_title,company_name,location,start_date,duration,stipend
HR Operations,UpGrad (U Education Management Private Limited),Gurgaon,Immediately,4 Months,"10,000"
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"5,000"
Omni Sports Leading,Decathlon Sport India Private Limited,Mumbai,Immediately,6 Months,"13,000"
IT Coordination,Vaibhav Global Limited,Jaipur,Immediately,6 Months,"10,000"
Admin,Worldwide Media (Times Group),Mumbai,Immediately,6 Months,"5,000"
Graphic Design,Priyanka Singh,Jaipur,Immediately,6 Months,"5,000"
Software Development ?·V?“yojaka Tool,IIT Bombay,Work From Home,Immediately,6 Months,"3,000"
Product Management,Tynor Orthotics Private Limited,Mohali,Immediately,6 Months,"2,000"
Omni Sport Leader,Decathlon Sports India,Pimpri-Chinchwad,Immediately,6 Months,"10,000"
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,Immediately,6 Months,"2,500"
Graphic Design,Futurionic Private Limited,Work From Home,Immediately,6 Months,"5,000"
Business Development (Sales),Cultfit Healthcare Private Limited,Bangalore,Immediately,6 Months,"20,000"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,
Youtube Management,Unacademy,Bangalore,Immediately,6 Months,"15,000"
Marketing,Absolute Barbecue Private Limited,Hyderabad,Immediately,6 Months,"6,000"
Event Management,Office Of Advisor To CM,Delhi,Immediately,6 Months,
Customer Service,Kalpataru Limited,Mumbai,Immediately,6 Months,"10,000"
Marketing,Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"5,000"
Public Relations,Across The Globe (ATG),Work From Home,Immediately,6 Months,"1,500"
Public Relations,Across The Globe (ATG),Work From Home,Immediately,6 Months,"1,500"
Talent Acquisition,MRCC Solutions,Thane,Immediately,6 Months,"10,000"
Human Resources (HR),Zucol Group Of Companies,Indore,Immediately,6 Months,"5,000"
Sales (Real Estate),Anarock Property Consultant Private Limited,Pune,Immediately,6 Months,"10,000"
Customer Experience,Snapdeal,Gurgaon,Immediately,6 Months,"10,000"
Insurance Consulting,Bajaj Allianz Life Insurance Company Limited,Work From Home,Immediately,6 Months,"12,000"
Resource Management,Techolution,Hyderabad,Immediately,6 Months,"15,000"
Curriculum Development,Educate Girls,Mumbai,Immediately,6 Months,"17,000"
Digital Marketing,Audi Mumbai West,Mumbai,Immediately,6 Months,"15,000"
Social Work,INDIA Redefined,Work From Home,Immediately,6 Months,
Lead HR (Admin),Aam Aadmi Party,Work From Home,Immediately,6 Months,
HR,WWF India,Delhi,Immediately,6 Months,"10,000"
Content Creation & Ideation,Aam Aadmi Party,Work From Home,Immediately,6 Months,
Operations,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Work From Home,Immediately,6 Months,"5,000"
Technical Finance,Thomas Cook,Mumbai,Immediately,6 Months,"6,000"
Campus Ambassador,Unacademy,Work From Home,Immediately,6 Months,
Media And Social Media Management,Aam Aadmi Party,Delhi,Immediately,6 Months,
Digital Media Monitoring/Content Analytics,Aam Aadmi Party,Work From Home,Immediately,6 Months,
Human Resources (HR),Alkegen India Private Limited,Pune,Immediately,6 Months,"3,000"
Digital And Cartoon Artist,Aam Aadmi Party,Work From Home,Immediately,6 Months,
Content Marketing,IIT Bombay,Work From Home,Immediately,6 Months,"1,000"
Social Media Research/Scouting,Aam Aadmi Party,Work From Home,Immediately,6 Months,
Human Resources (HR),Ambit Private Limited,Mumbai,Immediately,6 Months,"20,000"
Human Resources (HR),Ambit Private Limited,Mumbai,Immediately,6 Months,"20,000"
Business Development (Sales),MakeMyTrip,Gurgaon,Immediately,3 Months,"10,000"
Video Making/Editing,Aam Aadmi Party,Work From Home,Immediately,3 Months,
Social Work,INDIA Redefined,Work From Home,Immediately,3 Months,
YouTube Marketing,Saregama India Limited,Chennai,Immediately,3 Months,"10,000"
Marketing,Cuberoutes,Chennai,Immediately,3 Months,"12,000"
Marketing (Sunburn),BookMyShow,Mumbai,Immediately,3 Months,"7,500"
Content Developement (DIY Videos),K4 Media & Technologies,Jaipur,Immediately,3 Months,"10,000"
US Sales Process (Female),Gigde Global Solutions Private Limited,Noida,Immediately,3 Months,"15,000"
Chartered Accountancy (CA),H S SABHARWAL & Co,Dehradun,Immediately,3 Months,"5,000"
Content Writing (Education),K4 Media & Technologies,Jaipur,Immediately,3 Months,"10,000"
Computer Operations,K4 Media & Technologies,Jaipur,Immediately,3 Months,"10,000"
Marketing,MAG Finserv,Pune,Immediately,3 Months,"10,000"
Graphic Design,Trivy Technologies Private Limited,Work From Home,Immediately,3 Months,"2,500"
Project Management,HappiMynd,Work From Home,Immediately,3 Months,"15,000"
Creative Design,Soyu,Hyderabad,Immediately,3 Months,"5,000"
Subject Matter Expert (Mathematics) - Doubt Solving,LearnAsYouGo Private Limited,Work From Home,Immediately,3 Months,"6,000"
Content Writing (Art & Craft),K4 Media & Technologies,Work From Home,Immediately,3 Months,"1,000"
Content Writing (Fashion & Lifestyle),K4 Media & Technologies,Work From Home,Immediately,3 Months,"1,000"
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,3 Months,
Web Development,Celebrare,Work From Home,Immediately,3 Months,"12,000"
Web Content Development,Hex Wireless Private Limited,Work From Home,Immediately,3 Months,"12,000"
Video Editing,K4 Media & Technologies,Jaipur,Immediately,3 Months,"10,000"
UI/UX Design,QuadB Tech,Ludhiana,Immediately,3 Months,"25,000"
Digital Marketing,TopLine Vision,Bangalore,Immediately,3 Months,"5,000"
Data Entry,K4 Media & Technologies,Jaipur,Immediately,3 Months,"10,000"
Business Development (Sales),Rentkar-Switch To Share,Mumbai,Immediately,3 Months,"14,000"
Brand Management,Born High Digital,Gurgaon,Immediately,3 Months,"10,000"
HR And Market Research,Stellar Search,Gurgaon,Immediately,3 Months,"15,000"
Civil Engineering,Pro India,Work From Home,Immediately,3 Months,"1,000"
Architecture,Digipplus,Work From Home,Immediately,3 Months,"25,000"
Business Development Management,Trivy Technologies Private Limited,Work From Home,Immediately,3 Months,"1,500"
Digital Marketing (Meme & Carousel Making),Lawtech,Work From Home,Immediately,3 Months,"8,000"
UI/UX Design,Radhika Kapoor,Work From Home,Immediately,3 Months,"5,000"
Graphic Design,AnthroFit Lifesciences Co,Work From Home,Immediately,3 Months,"6,000"
General Management,Adore Earth,Work From Home,Immediately,3 Months,"4,000"
Legal Content Curation,Lawtech,Work From Home,Immediately,3 Months,"6,000"
Talent Acquisition,TopHire,Work From Home,Immediately,3 Months,"5,000"
English Content Curation (IELTS),Lawtech,Work From Home,Immediately,3 Months,"10,000"
English Content Curation (IELTS),Lawtech,Work From Home,Immediately,3 Months,"10,000"
Field And Digital Marketing,Mehta Poly Boards,Mumbai,Immediately,3 Months,"9,000"
Content Marketing,Ciera Advisors LLP,Mumbai,Immediately,3 Months,"10,000"
Digital Marketing,Mars Elevator,Gurgaon,Immediately,3 Months,"15,000"
Field Sales,Aadiananta Enterprises PVT Ltd,Delhi,Immediately,3 Months,"10,000"
Human Resources (HR),Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3 Months,"15,000"
Accounts And Audit,IRA Consulting,Mumbai,Immediately,3 Months,"7,500"
YouTube SEO,"Manjita Osta (Melbourne Airport, Australia)",Work From Home,Immediately,3 Months,"10,000"
Quality Analytics,Organikness Pvt. Ltd.,Hyderabad,Immediately,3 Months,"7,000"
Human Resources (HR),Six Ladders,Mumbai,Immediately,3 Months,"10,000"
Growth Hacking,Hotnot,Mumbai,Immediately,3 Months,"2,000"
Human Resources (HR),AICS Consultancy Service Private Limited,Noida,Immediately,3 Months,"5,000"
Purchase Management,PatilKaki,Navi Mumbai,Immediately,3 Months,"8,000"
